Code,Product Name,Unit,Current Stock,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
10002000,JOY Skin Fruits Active Moisture,PACK,-2,0,81,0,72,JOY BEAUTY CARE PVT. LTD,,,8904035416510
10028267,JOY SKIN FRUITS BRIGHTENING 150ML,PCS,4,0,160,140.34,152,HINDUSTAN UNILEVER LTD,,,8904035420807
10002037,JOY Skin Fruits Cream 100ml,PACK,1,0,83,0,75,JOY BEAUTY CARE PVT. LTD,,,8904035416534
10005484,JOY Skin Fruits Cream 50ml,PACK,9,0,56,0,50,JOY BEAUTY CARE PVT. LTD,,,8904035416619
10005485,JOY Skin Fruits Cream 800ml,PACK,1,0,0,0,0,JOY BEAUTY CARE PVT. LTD,,,8904035416633
10002130,JOY Skin Fruits Moisture Bodylotion 500ml,PACK,4,0,295,0,260,JOY BEAUTY CARE PVT. LTD,,,8904035416558
10023002,JOY Spots & Tan Clean F W,PACK,3,0,60,0,60,JOY BEAUTY CARE PVT. LTD,,,8904035420784
10022396,JOY Spots & Tan Clean f/w,PACK,1,0,110,0,105,RSH GLOBAL PVT LTD\,,,8904035420845
10024844,JOY SUN ANTI TAN LOTION 30M,PACK,1,0,72,0,70,JOY BEAUTY CARE PVT. LTD,,,8904035422054
10010665,JOY Sun Block Cream Spf 50ml,PACK,7,0,69,0,65,JOY BEAUTY CARE PVT. LTD,,,8904035417883
10005482,JOY Sun Block Lotion Spf 30 60ml,PACK,2,0,135,0,125,JOY BEAUTY CARE PVT. LTD,,,8904035417111
10028264,JOY VELVET SHEA 400ML,PCS,3,0,265,221.05,250,HINDUSTAN UNILEVER LTD,,,8904035422238
10028740,JUNIOR KIDS BRISH,PCS,9,0,22,12,18,HINDUSTAN UNILEVER LTD,,,8904000925931
10028214,JUNIOR TOOTPAST,PCS,8,0,18,7,15,HINDUSTAN UNILEVER LTD,,,6948404669093
