code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10000622,GANGWAL Baafla Aata 1Kg,PACK,1,0,50,0,45,GANGAWAL,8906021510530
10000619,GANGWAL BESAN 500g,PACK,19,0,65,0,40,GANGAWAL,8906021510592
10000615,GANGWAL DALIYA 500g,PACK,12,0,30,0,25,GANGAWAL,8906021510769
10000625,GANGWAL Dhokla 500g,PACK,12,0,88,0,65,GANGAWAL,8906021510028
10000627,GANGWAL DOSA 500g,PACK,42,0,83,0,60,GANGAWAL,8906021510035
10000626,GANGWAL IDLI 500g,PACK,5,0,83,0,60,GANGAWAL,8906021510011
10000616,GANGWAL Maida 500Gm,PACK,21,0,29,0,22,GANGAWAL,8906021510707
10009369,Gangwal makka.aata kg,PACK,1,0,58,0,50,GANGAWAL,8906021510509
10006197,GANGWAL Poha 1KG,PACK,2,0,67,0,50,GANGAWAL,8906021510974
10017051,GANGWAL Poha 500Gm,PACK,24,0,34,0,30,GANGAWAL,8906021511155
10000618,GANGWAL Suji 500Gm,PACK,17,0,34,0,25,GANGAWAL,8906021510745
10028342,GARAM MASALA 100GM,PCS,8,0,100,60,70,HINDUSTAN UNILEVER LTD,GARM60
10028343,GARAM MASALA 15Gm,PCS,24,0,15,8,10,HINDUSTAN UNILEVER LTD,GARAM8
10026910,GARAM MASALA 50G,PCS,-36,0,50,30,35,HINDUSTAN UNILEVER LTD,MASALA30
10027465,GARLIC PASTE,PCS,-16,0,5,9,5,HINDUSTAN UNILEVER LTD,8901560273144
10028024,GARNIER  MEN 100g + 100G,PCS,6,0,360,320,340,HINDUSTAN UNILEVER LTD,8901526558339
10008409,Garnier 2.0Black40ml,PACK,-1,0,37,0,34,GARNIER,8901526209903
10002146,Garnier 3.0Brownblack40ml.,PACK,5,0,37,0,34,GARNIER,8901526209897
10000642,Garnier 3.16 Burgundy100ml,PACK,1,0,180,0,160,GARNIER,8901526204472
10015861,Garnier 3.16Burgundy25ml,PACK,-2,0,37,0,34,GARNIER,8901526211715
10000915,Garnier 3Darkestbrown40ml,PACK,5,0,80,0,75,GARNIER,8901526204748
10005072,GARNIER BN 4.0 Natural Brown 40gm 39/-,PACK,-2,0,37,0,34,GARNIER,8901526211722
10000639,Garnier Light Br.100ml,PACK,-2,0,180,0,171,GARNIER,8901526204496
10028023,GARNIER MEN 100G + 100G,PCS,6,0,360,320,340,HINDUSTAN UNILEVER LTD,8901526558322
10024332,GARNIER SKIN NATURALS 45g + 125 Ml,PACK,3,0,199,0,190,Loreal India Pvt. Ltd.,8901526553426
10026696,GEERA 100GM,PCS,-23,0,35,28,30,HINDUSTAN UNILEVER LTD,GEERA28
10026222,GEERA 250G,PCS,2,0,0,45,50,NILONs,GEERA45
10027986,GEL PEN 5N,PCS,8,0,30,17,20,HINDUSTAN UNILEVER LTD,8907234501674
10027989,GEL SUPER STAR 5N,PCS,2,0,30,17,20,HINDUSTAN UNILEVER LTD,8907234501711
10026955,GEMS (BIRTHDAY PACK) 50 UNITS,PCS,2,0,100,89.28,98,HINDUSTAN UNILEVER LTD,8901233034164
10027836,GEMS 9Gm,PCS,91,0,5,4.5,5,HINDUSTAN UNILEVER LTD,7622201769758
10026958,GEMS SURPRISE 17.8G,PCS,16,0,45,40.17,45,HINDUSTAN UNILEVER LTD,7622201114848
10027598,GET OUT 25G,PCS,5,0,27,8.75,15,HINDUSTAN UNILEVER LTD,8908010644127
10027222,GHADU,PCS,2,0,50,33,40,HINDUSTAN UNILEVER LTD,GHADU33
10027223,GHADU,PCS,5,0,50,20,30,HINDUSTAN UNILEVER LTD,GHADU20
10027226,GHADU,PCS,3,0,70,36,50,HINDUSTAN UNILEVER LTD,GHADU35
10027227,GHADU,\PCS,4,0,157,65,90,HINDUSTAN UNILEVER LTD,GHADU65
10027412,GHADU,PCS,3,0,127,55,75,HINDUSTAN UNILEVER LTD,GHADU55
10027710,GHADU,PCS,-1,0,299,60,70,HINDUSTAN UNILEVER LTD,8906063220251
10000174,GHARI CAKE  10/-(110/-DZ) 60P,PCS,-55,0,10,0,10,RSPL LIMITED,8901331000559
10000175,GHARI Cake 100g 55/- dz 120p,PACK,38,0,5,0,5,RSPL LIMITED,8901331000542
10024673,GHARI MACHINE WASH 1kg(12p),PACK,12,0,75,0,74,RSPL LIMITED,8901331012804
10015930,GHARI POWDER 1KG (25P),PACK,-8,0,55,0,53,RSPL LIMITED,8901331003871
10018229,GHARI POWDER 500GM  40P,PACK,4,0,28,0,27,GENERAL,8901331003864
10018609,GHARI PWD 140g,PACK,10,0,10,0,10,GENERAL,8901331003109
10027228,GHAU,PCS,4,0,125,60,75,HINDUSTAN UNILEVER LTD,GHADU60
10015308,GIL 7 OClock SP 50/-,PACK,7,0,50,0,45,P & G,4902430648660
10000972,GIL FOAM Regular 418gm,PACK,7,0,199,0,185,P & G,4902430602761
10015146,GIL Foam Regular 50gm,PACK,4,0,85,0,80,P & G,4902430722193
10000971,GIL FOAM Sensitive 418gm,PACK,6,0,199,0,185,P & G,4902430602747
10009626,GIL Guard Cart 6s,PACK,9,0,50,0,48,P & G,4902430818834
10016151,GIL Series Shav Gel Moisturizing 60Gm,PACK,3,0,85,0,80,P & G,4902430722001
10016152,GIL Series Shav Gel Sensitive 60Gm,PACK,3,0,85,0,80,P & G,4902430722025
10016154,GIL Series Shav Gel Ultra Comfort 60Gm,PACK,11,0,85,0,80,P & G,4902430722049
